COLUMN_NAME;COLUMN_ID;IS_FILTER_DATE;IS_ID;IS_ORDER_BY;IS_PARTITION;NEW_DATA_TYPE;TABLE_NAME;TRANSFORMATION;ENDPOINT_NAME;DATA_SOURCE;TEAM
cod_compania;2;F;F;F;F;string;M_FORMATO;fn_transform_ClearString(compania);PEBDDATA2;apdayc;sofia
cod_formato;3;F;F;F;F;string;M_FORMATO;fn_transform_ClearString(califica3);PEBDDATA2;apdayc;sofia
desc_formato;4;F;F;F;F;string;M_FORMATO;fn_transform_ClearString(descrip);PEBDDATA2;apdayc;sofia
fecha_creacion;5;F;F;F;F;timestamp;M_FORMATO;fn_transform_DatetimeMagic(feccrea,horcrea,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);PEBDDATA2;apdayc;sofia
fecha_modificacion;7;F;F;F;F;timestamp;M_FORMATO;fn_transform_DatetimeMagic(fecultmod,horultimod,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);PEBDDATA2;apdayc;sofia
id_compania;1;F;F;F;T;string;M_FORMATO;fn_transform_ClearString(compania);PEBDDATA2;apdayc;sofia
id_formato;0;F;T;F;F;string;M_FORMATO;fn_transform_ClearString(id);PEBDDATA2;apdayc;sofia
lastmodifydate;-1;T;F;F;F;timestamp;M_FORMATO;fn_transform_Datetime(lastmodifydate);PEBDDATA2;apdayc;sofia
processdate;-2;F;F;F;F;timestamp;M_FORMATO;fn_transform_Datetime();PEBDDATA2;apdayc;sofia
usuario_creacion;6;F;F;F;F;string;M_FORMATO;fn_transform_ClearString(usucrea);PEBDDATA2;apdayc;sofia
usuario_modificacion;8;F;F;F;F;string;M_FORMATO;fn_transform_ClearString(ultusumod);PEBDDATA2;apdayc;sofia
cod_iso;5;F;F;F;F;string;M_PAIS;fn_transform_ClearString(codletr);PEBDDATA2;apdayc;sofia
cod_pais;1;F;F;F;F;string;M_PAIS;fn_transform_ClearString(pais);PEBDDATA2;apdayc;sofia
continente;4;F;F;F;F;string;M_PAIS;fn_transform_ClearString(continente);PEBDDATA2;apdayc;sofia
desc_pais;3;F;F;F;F;string;M_PAIS;fn_transform_ClearString(descrip);PEBDDATA2;apdayc;sofia
desc_pais_comercial;2;F;F;F;F;string;M_PAIS;fn_transform_Case_with_default(codletr,CR;PEBDDATA2;apdayc;sofia
fecha_creacion;6;F;F;F;F;timestamp;M_PAIS;fn_transform_DatetimeMagic(feccrea,horcrea,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);PEBDDATA2;apdayc;sofia
fecha_modificacion;8;F;F;F;F;timestamp;M_PAIS;fn_transform_DatetimeMagic(fecultmod,horultimod,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);PEBDDATA2;apdayc;sofia
id_pais;0;F;T;F;F;string;M_PAIS;fn_transform_ClearString(id);PEBDDATA2;apdayc;sofia
lastmodifydate;-1;T;F;F;F;timestamp;M_PAIS;fn_transform_Datetime(lastmodifydate);PEBDDATA2;apdayc;sofia
processdate;-2;F;F;F;F;timestamp;M_PAIS;fn_transform_Datetime();PEBDDATA2;apdayc;sofia
usuario_creacion;7;F;F;F;F;string;M_PAIS;fn_transform_ClearString(usucrea);PEBDDATA2;apdayc;sofia
usuario_modificacion;9;F;F;F;F;string;M_PAIS;fn_transform_ClearString(ultusumod);PEBDDATA2;apdayc;sofia
cantidad_botellas_pedido;19;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;qbotpedid;PEBDDATA2;apdayc;sofia
cantidad_botellas_programada;21;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;qbotcron;PEBDDATA2;apdayc;sofia
cantidad_cajas_pedido;18;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;qcajpedid;PEBDDATA2;apdayc;sofia
cantidad_cajas_programada;20;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;qcajcron;PEBDDATA2;apdayc;sofia
cod_almacen_emisor;11;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;emisor;PEBDDATA2;apdayc;sofia
cod_articulo;14;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;articulo;PEBDDATA2;apdayc;sofia
cod_cliente;15;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;cliente;PEBDDATA2;apdayc;sofia
cod_compania;9;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;compania;PEBDDATA2;apdayc;sofia
cod_documento_transaccion;12;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;docupedido;PEBDDATA2;apdayc;sofia
cod_procedimiento;16;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;procpedido;PEBDDATA2;apdayc;sofia
cod_sucursal;10;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;sucursal;PEBDDATA2;apdayc;sofia
estado;22;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;estado;PEBDDATA2;apdayc;sofia
fecha_creacion;23;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;fn_transform_DatetimeMagic(feccreacio,horcreacio,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);PEBDDATA2;apdayc;sofia
fecha_entrega;17;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;fechaentrega;PEBDDATA2;apdayc;sofia
fecha_modificacion;25;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;fn_transform_DatetimeMagic(fecultimod,horultimod,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01);PEBDDATA2;apdayc;sofia
id_almacen_emisor;3;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;fn_transform_Concatenate(compania,sucursal,emisor);PEBDDATA2;apdayc;sofia
id_articulo;6;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;fn_transform_Concatenate(compania,articulo);PEBDDATA2;apdayc;sofia
id_cliente;7;F;F;F;F;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;fn_transform_Concatenate(compania,cliente);PEBDDATA2;apdayc;sofia
id_compania;1;F;F;F;T;string;T_DOCUMENTO_PEDIDO_ADES_PROGRAMACION;compania;PEBDDATA2;apdayc;sofia
