COLUMN_NAME,COLUMN_ID,IS_FILTER_DATE,IS_ID,IS_ORDER_BY,IS_PARTITION,NEW_DATA_TYPE,TABLE_NAME,TRANSFORMATION
articuloant,54,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,articuloant
cantidad_botellas_cancelada,33,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,qbotaten
cantidad_botellas_pedido,27,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,qbotpedid
cantidad_botellas_prog,29,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,qbotprog
cantidad_botellas_saldo,31,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,qbotsaldo
cantidad_cajas_cancelada,32,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,qcajaten
cantidad_cajas_pedido,26,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,qcajpedid
cantidad_cajas_prog,28,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,qcajprog
cantidad_cajas_saldo,30,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,qcajsaldo
cod_almacen_emisor,14,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,emisor
cod_almacen_emisor_prog,22,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,emisprog
cod_articulo,17,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,articulo
cod_cliente,18,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,cliente
cod_compania,12,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,compania
cod_compania_prog,20,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,compprog
cod_documento_transaccion,15,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,docupedido
cod_forma_pago,40,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,formpago
cod_lista_precios,38,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,listprec
cod_modulo,36,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,modulo
cod_procedimiento,19,F,F,F,F,string,T_DOCUMENTO_PEDIDO_ADES_APROBACION,procpedido
