COLUMN_NAME;COLUMN_ID;IS_FILTER_DATE;IS_ID;IS_ORDER_BY;IS_PARTITION;NEW_DATA_TYPE;TABLE_NAME;TRANSFORMATION
processdate;-2;F;F;F;F;timestamp;I_RELACION_CONSUMO;fn_transform_Datetime()
lastmodifydate;-1;T;F;F;F;timestamp;I_RELACION_CONSUMO;fn_transform_Datetime(lastmodifydate)
id_relacion_consumo;0;F;T;F;F;string;I_RELACION_CONSUMO;fn_transform_ClearString(id)
id_compania;1;F;F;F;T;string;I_RELACION_CONSUMO;fn_transform_ClearString(compania)
id_ocasion_consumo;2;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_Concatenate(compania,codocas)
id_canal;3;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_Concatenate(compania,canal)
id_giro;4;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_Concatenate(compania,giro)
id_subgiro;5;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_Concatenate(compania,subgiro)
cod_compania;6;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_ClearString(compania)
cod_ocasion_consumo;7;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_ClearString(codocas)
cod_canal;8;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_ClearString(canal)
cod_giro;9;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_ClearString(giro)
cod_subgiro;10;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_ClearString(subgiro)
es_activo;11;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_ClearString(estsgiro)
fecha_creacion;12;F;F;F;F;timestamp;I_RELACION_CONSUMO;fn_transform_DatetimeMagic(feccrea,horacrea,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
usuario_creacion;13;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_ClearString(usuacrea)
fecha_modificacion;14;F;F;F;F;timestamp;I_RELACION_CONSUMO;fn_transform_DatetimeMagic(fecmodi,horamodi,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
usuario_modificacion;15;F;F;F;F;string;I_RELACION_CONSUMO;fn_transform_ClearString(usuamodi)
processdate;-2;F;F;F;F;timestamp;M_ALMACEN;fn_transform_Datetime()
lastmodifydate;-1;T;F;F;F;timestamp;M_ALMACEN;fn_transform_Datetime(lastmodifydate)
id_almacen;0;F;T;F;F;string;M_ALMACEN;fn_transform_ClearString(id)
id_compania;1;F;F;F;T;string;M_ALMACEN;fn_transform_ClearString(compania)
id_sucursal;2;F;F;F;F;string;M_ALMACEN;fn_transform_Concatenate(compania,sucursal)
cod_compania;3;F;F;F;F;string;M_ALMACEN;fn_transform_ClearString(compania)
cod_almacen;4;F;F;F;F;string;M_ALMACEN;fn_transform_ClearString(emisor)
cod_sucursal;5;F;F;F;F;string;M_ALMACEN;fn_transform_ClearString(sucursal)
tipo_articulo;6;F;F;F;F;string;M_ALMACEN;fn_transform_ClearString(tipartpro)
desc_almacen;7;F;F;F;F;string;M_ALMACEN;fn_transform_ClearString(descemisor)
es_activo;8;F;F;F;F;string;M_ALMACEN;fn_transform_ClearString(stsemisor)
flg_valoriza;9;F;F;F;F;string;M_ALMACEN;fn_transform_ClearString(flgconexi)
tipo_almacen;10;F;F;F;F;string;M_ALMACEN;fn_transform_ClearString(tipstock)
fecha_creacion;11;F;F;F;F;timestamp;M_ALMACEN;fn_transform_DatetimeMagic(feccreacio,horcreacio,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
usuario_creacion;12;F;F;F;F;string;M_ALMACEN;fn_transform_ClearString(usuacreac)
fecha_modificacion;13;F;F;F;F;timestamp;M_ALMACEN;fn_transform_DatetimeMagic(fecultimod,horultimod,yyyy-MM-dd HH:mm:ss,1900-01-01 00:00:01)
usuario_modificacion;14;F;F;F;F;string;M_ALMACEN;fn_transform_ClearString(usuaulmod)
